objectid,country,name,company,group_comp,subgroup,groupid,area_ha
8038,IDN,PT. GUNUNG MAS RAYA 2,PT. GUNUNG MAS RAYA,Salim Group,,60,5419
8039,IDN,PT. MULTI PARAMITRA PERKASA JAYA,PT. MULTI PARAMITRA PERKASA JAYA,Surya Dumai Group,,94,3545
8040,IDN,PT. WANA SUBUR SAWIT INDAH,PT. WANA SUBUR SAWIT INDAH,No group,,99,6860
8041,IDN,PT. GELORA SAWITA MAKMUR 2,PT. GELORA SAWITA MAKMUR,Danitama Makmur,,87,7006
8042,IDN,KT. MADISON JAYA,KT. MADISON JAYA,No group,,99,507
8043,IDN,KT. BUANA LUHUR,KT. BUANA LUHUR,No group,,99,489
8044,IDN,PT. KARYABADI SAMASEJATI,PT. KARYABADI SAMASEJATI,No group,,99,1266
8045,IDN,PT. PERKEBUNAN V (PTP III SEI. MERANTI),PT. PERKEBUNAN V (PTP III SEI. MERANTI),No group,,99,465
8046,IDN,PT. TORGANDA 2,PT. TORGANDA,No group,,99,11893
8047,IDN,PT. KARYA TAMA BAKTI MULIA 2,PT. KARYA TAMA BAKTI MULIA,Surya Dumai Group,,94,7707
8048,IDN,PT. SURYA INTI SARI RAYA 2,PT. SURYA INTI SARI RAYA,Surya Dumai Group,,94,4052
8049,IDN,PT. TRIOMAS FDI,PT. TRIOMAS FDI,No group,,99,10229
8050,IDN,PT. TRISETYA USAHA MANDIRI 2,PT. TRISETYA USAHA MANDIRI,No group,,99,7508
8051,IDN,PT. CILIANDRA PERKASA,PT. CILIANDRA PERKASA,Surya Dumai Group,,94,2397
8052,IDN,PT. LANGGAM INTI HIBRINDO 2,PT. LANGGAM INTI HIBRINDO,Klau River Enterprise Sdn Bhd,,36,1276
8053,IDN,PT. DUET RIJA 1,PT. DUET RIJA,No group,,99,326
8054,IDN,PT. DUET RIJA 2,PT. DUET RIJA,No group,,99,1290
8055,IDN,PT. DUET RIJA 3,PT. DUET RIJA,No group,,99,5605
8056,IDN,PT. GANDAERAH HENDANA 2,PT. GANDAERAH HENDANA,Barito Pacific,,7,1381
8057,IDN,PT. SABIRA NEGERIUTAMA,PT. SABIRA NEGERIUTAMA,Sabira Group,,59,7085
8058,IDN,PT. GUNTUNG HASRAT MSKMUR,PT. GUNTUNG HASRAT MSKMUR,Sambu Group,,61,17565
8059,IDN,PT. SUMTAI JAYA SATRIA,PT. SUMTAI JAYA SATRIA,No group,,99,8104
8060,IDN,PT. TENAGA PEMB SEJATERA,PT. TENAGA PEMB SEJATERA,No group,,99,10142
8061,IDN,PT. TESSO SEPAKAT,PT. TESSO SEPAKAT,No group,,99,1702
8062,IDN,PT. TANI SWADAYA PERDANA,PT. TANI SWADAYA PERDANA,No group,,99,2024
8063,IDN,PT. TASMA PUJA,PT. TASMA PUJA,No group,,99,3280
8064,IDN,PT. KEBUN PANTAI RAJA 2,PT. KEBUN PANTAI RAJA,Uniseraya Group,,75,4499
8065,IDN,PT. FLORA WANAHA TIRTA,PT. FLORA WANAHA TIRTA,Domba Mas Group,,15,3594
8066,IDN,PT. KEBUN PANTAI RAJA 3,PT. KEBUN PANTAI RAJA,Uniseraya Group,,75,4255
8067,IDN,PT. NUSAESA BINA,PT. NUSAESA BINA,No group,,99,2063
8068,IDN,PT. ARIAN MULTI KAWA 1,PT. ARIAN MULTI KAWA,No group,,99,9509
8069,IDN,PT. ARIAN MULTI KAWA 2,PT. ARIAN MULTI KAWA,No group,,99,3226
8070,IDN,PT. PANCA SURYA AGRINDO SEJAHTERA,PT. PANCA SURYA AGRINDO SEJAHTERA,Surya Dumai Group,,94,17551
8071,IDN,PT. MEKAR SARI ALAM LESTARI,PT. MEKAR SARI ALAM LESTARI,Duta Palma Group,,17,15394
8072,IDN,PT. BENGKALIS KAMPAR SARANA,PT. BENGKALIS KAMPAR SARANA,No group,,99,3325
8073,IDN,PT. SIDOMARGA PERKASA,PT. SIDOMARGA PERKASA,No group,,99,9366
8074,IDN,PT. SHADU EKA CITRA,PT. SHADU EKA CITRA,No group,,99,16278
8075,IDN,PT. KHARISMA RIAU SENTOSA PRIMA 1,PT. KHARISMA RIAU SENTOSA PRIMA,No group,,99,2180
8076,IDN,PT. KHARISMA RIAU SENTOSA PRIMA 2,PT. KHARISMA RIAU SENTOSA PRIMA,No group,,99,3736
8077,IDN,PUSKOPOLDA RIAU,PUSKOPOLDA RIAU,No group,,99,4938
8078,IDN,PT. PARAWIRA PRIMAKONSIER,PT. PARAWIRA PRIMAKONSIER,No group,,99,106
8079,IDN,PT. PARAWIRA UTAMA,PT. PARAWIRA UTAMA,No group,,99,109
8080,IDN,PT. PARAWIRA ABADITAMA,PT. PARAWIRA ABADITAMA,No group,,99,104
8081,IDN,CV. RIAU MERBAU LESTARI,CV. RIAU MERBAU LESTARI,No group,,99,4053
8082,IDN,CV. NIRMALA,CV. NIRMALA,No group,,99,6186
8083,IDN,PT. INHUWANA PALMA LESTARI,PT. INHUWANA PALMA LESTARI,No group,,99,7102
8084,IDN,PT. PERKEBUNAN V,PT. PERKEBUNAN V,No group,,99,2905
8085,IDN,PT. MEGA NUSA INTI SAWIT 1,PT. MEGA NUSA INTI SAWIT,Sinar Mas,,68,623
8086,IDN,PT. MEGA NUSA INTI SAWIT 2,PT. MEGA NUSA INTI SAWIT,Sinar Mas,,68,8377
